log,combo,degradation_dim,degradation_level,metric_or_stage,seconds,rows,status
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,voidmass_deficit_lower,5.899928510189056e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,voidmass_deficit_upper,3.899913281202316e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,voidmass_movecount,2.6994384825229645e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,voidmass_movecount_bound,2.898741513490677e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,voidmass_process_lower,3.6992132663726807e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,voidmass_process_upper,3.300141543149948e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,voidsalign3,5.770055577158928e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,voidsat2,0.00016589974984526634,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,weight_voidage,2.1799001842737198e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,aligned_duration_cache,0.0023676003329455,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,alignment_coverage_pn2_lower,7.720151916146278e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,alignment_coverage_pn2_upper,4.5900698751211166e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,classical,0.006182599812746,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,dv,5.543649400118738,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,executions_cache,6.500165909528732e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,matchprob,3.2009556889533997e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,mean_leaf_skipprob,2.9001384973526e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,salign_coverage,9.590061381459236e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,skipprob,3.200024366378784e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,traces,0.0023540998809039,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,voidmass_deficit_lower,6.300397217273712e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,voidmass_deficit_upper,3.3993273973464966e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,voidmass_movecount,2.9997900128364563e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,voidmass_movecount_bound,3.3993273973464966e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,voidmass_process_lower,3.3993273973464966e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,voidmass_process_upper,3.900378942489624e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,voidsalign3,5.799951031804085e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,voidsat2,0.0001575993373990059,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,weight_voidage,2.2299587726593018e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,aligned_duration_cache,0.0022825002670288,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,alignment_coverage_pn2_lower,4.5000109821558e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,alignment_coverage_pn2_upper,2.6800204068422318e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,classical,0.0036514000967144,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,dv,5.422621800098568,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,executions_cache,6.500165909528732e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,matchprob,3.0989758670330048e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,mean_leaf_skipprob,3.09990718960762e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,salign_coverage,6.200093775987625e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,skipprob,3.1995587050914764e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,traces,0.0022690999321639,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,voidmass_deficit_lower,6.700865924358368e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,voidmass_deficit_upper,4.200730472803116e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,voidmass_movecount,3.100372850894928e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,voidmass_movecount_bound,3.300141543149948e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,voidmass_process_lower,4.000961780548096e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,voidmass_process_upper,4.099216312170029e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,voidsalign3,3.910018131136894e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,voidsat2,0.00014409981667995453,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,weight_voidage,2.149958163499832e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,aligned_duration_cache,0.0022840998135507,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,alignment_coverage_pn2_lower,7.470091804862022e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,alignment_coverage_pn2_upper,4.149973392486572e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,classical,0.0059263003058731,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,dv,5.50315840030089,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,executions_cache,6.800051778554916e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,matchprob,3.600027412176132e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,mean_leaf_skipprob,3.899913281202316e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,salign_coverage,0.00010170135647058487,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,skipprob,3.400258719921112e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,traces,0.0022705001756548,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,voidmass_deficit_lower,6.800051778554916e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,voidmass_deficit_upper,3.300607204437256e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,voidmass_movecount,2.8014183044433594e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,voidmass_movecount_bound,3.400258719921112e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,voidmass_process_lower,4.300381988286972e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,voidmass_process_upper,3.700610250234604e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,voidsalign3,5.640089511871338e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,voidsat2,0.0001497003249824047,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,weight_voidage,2.5799963623285294e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,aligned_duration_cache,0.0024047000333666,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,alignment_coverage_pn2_lower,7.379986345767975e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,alignment_coverage_pn2_upper,4.029972478747368e-05,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,classical,0.0058647003024816,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,dv,5.650792900007218,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,executions_cache,7.200054824352264e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,matchprob,3.302004188299179e-06,11,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,mean_leaf_skipprob,3.09990718960762e-06,1,ok
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,salign_coverage,0.00010040029883384705,11,ok
