log,combo,degradation_dim,degradation_level,dropped,dropped_count,status,elapsed_s,mandatory_node_count,total_node_count,tree_source,weight_voidage,skipprob,matchprob,salign_coverage,voidsalign3,voidmass_deficit_lower,voidmass_deficit_upper,voidmass_movecount,voidmass_movecount_bound,voidmass_process_lower,voidmass_process_upper,alignment_coverage_pn2_lower,alignment_coverage_pn2_upper,voidsat2,mean_leaf_skipprob,timed_out_count,timed_out_weight
partial_sequence,inductive_noise20,activity_frequency_gradual,0.0,,0,ok,5.952139699831605,5,9,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,0.2083333333333333,0.0,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.1,y,1,ok,5.859646700322628,5,9,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.6666666666666665,3.6666666666666665,0.0,0.0,1.0,1.0,0.2916666666666666,0.0,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.2,y,1,ok,5.846309599932283,5,9,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.333333333333333,3.333333333333333,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.3,"y, z",2,ok,5.603843099903315,5,9,cached,0.0833333333333332,0.0,1.0,0.8888888888888888,0.1111111111111111,0.3333333333333333,0.3333333333333333,3.0,3.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.4166666666666666,0.0666666666666666,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.4,"y, z",2,ok,5.553070500027388,5,9,cached,0.1666666666666666,0.0,1.0,0.7777777777777777,0.2222222222222223,0.6666666666666666,0.6666666666666666,3.0,3.0,0.2222222222222222,0.2222222222222222,0.7777777777777777,0.7777777777777777,0.4583333333333333,0.1333333333333333,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.5,"o, y, z",3,ok,5.42930920002982,5,9,cached,0.25,0.0,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,3.0,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.2,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.6,"o, y, z",3,ok,5.512259199749678,5,9,cached,0.3333333333333332,0.0,1.0,0.5555555555555556,0.4444444444444444,1.3333333333333333,1.3333333333333333,3.0,3.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.2666666666666666,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.7,"o, y, z",3,ok,5.659918100107461,5,9,cached,0.4166666666666666,0.0,1.0,0.4444444444444444,0.5555555555555556,1.6666666666666663,1.6666666666666663,3.0,3.0,0.5555555555555555,0.5555555555555555,0.4444444444444444,0.4444444444444444,0.1666666666666666,0.3333333333333333,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.8,"o, p, y, z",4,ok,5.502450400032103,5,9,cached,0.5,0.0,1.0,0.3333333333333333,0.6666666666666667,2.0,2.0,3.0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.4,0,0.0
partial_sequence,inductive_noise20,activity_frequency_gradual,0.9,"o, p, y, z",4,ok,5.451876000035554,5,9,cached,0.5,0.0,1.0,0.3333333333333333,0.6666666666666667,2.0,2.0,3.0,3.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.4,0,0.0
