log,combo,degradation_dim,degradation_level,dropped,dropped_count,status,elapsed_s,mandatory_node_count,total_node_count,tree_source,weight_voidage,skipprob,matchprob,salign_coverage,voidsalign3,voidmass_deficit_lower,voidmass_deficit_upper,voidmass_movecount,voidmass_movecount_bound,voidmass_process_lower,voidmass_process_upper,alignment_coverage_pn2_lower,alignment_coverage_pn2_upper,voidsat2,mean_leaf_skipprob,timed_out_count,timed_out_weight
payment_partial,inductive_noise20,activity_gradual,0.7,"e, o, p",3,ok,6.055176199879497,5,10,cached,0.6887830061625108,0.0,1.0,0.3999999999999999,0.6,2.5,2.5,4.166666666666666,4.166666666666666,0.6000000000000001,0.6000000000000001,0.875,0.875,0.3611111111111111,0.5,0,0.0
payment_partial,inductive_noise20,activity_gradual,0.8,"e, o, p, s",4,ok,5.872494400013238,5,10,cached,0.8137830061625106,0.0,1.0,0.275,0.725,3.0,3.0,4.166666666666667,4.166666666666667,0.72,0.72,1.0,1.0,0.1111111111111111,0.6,0,0.0
payment_partial,inductive_noise20,activity_gradual,0.9,"e, o, p, s",4,ok,5.572721000295132,5,10,cached,0.75,0.0,1.0,0.25,0.75,3.0,3.0,4.0,4.0,0.75,0.75,1.0,1.0,0.0,0.6,0,0.0
payment_partial,inductive_noise20,trace,0.0,,0,ok,6.404035300016403,5,10,cached,0.0956439393939394,0.0,1.0,0.96875,0.03125,0.125,0.125,4.25,4.25,0.0294117647058823,0.0294117647058823,0.9791666666666666,0.9791666666666666,0.2301136363636363,0.025,0,0.0
payment_partial,inductive_noise20,trace,0.1,sigma4,1,ok,6.182420200202614,5,10,cached,0.1013922518159806,0.0,1.0,0.964285714285714,0.0357142857142857,0.1428571428571428,0.1428571428571428,4.428571428571429,4.428571428571429,0.032258064516129,0.032258064516129,0.9761904761904764,0.9761904761904764,0.2272727272727274,0.0285714285714285,0,0.0
payment_partial,inductive_noise20,trace,0.2,"sigma4, sigma5",2,ok,6.272675300016999,5,10,cached,0.107843137254902,0.0,1.0,0.9583333333333331,0.0416666666666666,0.1666666666666666,0.1666666666666666,4.5,4.5,0.037037037037037,0.037037037037037,0.972222222222222,0.972222222222222,0.1969696969696969,0.0333333333333333,0,0.0
payment_partial,inductive_noise20,trace,0.3,"sigma4, sigma5",2,ok,6.350510899908841,5,10,cached,0.107843137254902,0.0,1.0,0.9583333333333331,0.0416666666666666,0.1666666666666666,0.1666666666666666,4.5,4.5,0.037037037037037,0.037037037037037,0.972222222222222,0.972222222222222,0.1969696969696969,0.0333333333333333,0,0.0
payment_partial,inductive_noise20,trace,0.4,"sigma4, sigma5, sigma7",3,ok,6.187319400254637,5,10,cached,0.1154761904761905,0.0,1.0,0.9500000000000002,0.0499999999999998,0.2,0.2,4.4,4.4,0.0454545454545454,0.0454545454545454,0.9666666666666668,0.9666666666666668,0.2363636363636364,0.04,0,0.0
payment_partial,inductive_noise20,trace,0.5,"sigma4, sigma5, sigma7, sigma8",4,ok,6.252871400211006,5,10,cached,0.1268939393939394,0.0,1.0,0.9375,0.0625,0.25,0.25,4.25,4.25,0.0588235294117647,0.0588235294117647,0.9583333333333334,0.9583333333333334,0.2954545454545455,0.05,0,0.0
payment_partial,inductive_noise20,trace,0.6,"sigma3, sigma4, sigma5, sigma7, sigma8",5,ok,5.927492700051516,5,10,cached,0.1506410256410255,0.0,1.0,0.9166666666666666,0.0833333333333333,0.3333333333333333,0.3333333333333333,4.666666666666666,4.666666666666666,0.0714285714285714,0.0714285714285714,0.9444444444444444,0.9444444444444444,0.2424242424242425,0.0666666666666666,0,0.0
payment_partial,inductive_noise20,trace,0.7,"sigma3, sigma4, sigma5, sigma6, sigma7, sigma8",6,ok,5.921715499833226,5,10,cached,0.0694444444444444,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.196969696969697,0.0,0,0.0
payment_partial,inductive_noise20,trace,0.8,"sigma3, sigma4, sigma5, sigma6, sigma7, sigma8",6,ok,5.874912099912763,5,10,cached,0.0694444444444444,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.196969696969697,0.0,0,0.0
payment_partial,inductive_noise20,trace,0.9,"sigma1, sigma3, sigma4, sigma5, sigma6, sigma7, sigma8",7,ok,5.3909832001663744,5,10,cached,0.0749999999999999,0.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.2272727272727273,0.0,0,0.0
payment_partial,toothpaste,activity_frequency_gradual,0.0,,0,ok,6.188856800086796,21,21,cached,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.125,4.125,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0
payment_partial,toothpaste,activity_frequency_gradual,0.1,e,1,ok,6.322243500035256,21,21,cached,0.0234375,0.0,1.0,0.9930555555555556,0.0069444444444444,0.0625,0.0625,3.75,3.75,0.0166666666666666,0.0166666666666666,0.9895833333333334,0.9895833333333334,0.0151515151515151,0.0909090909090909,0,0.0
payment_partial,toothpaste,activity_frequency_gradual,0.2,e,1,ok,6.141270199790597,21,21,cached,0.0593749999999999,0.0,1.0,0.9583333333333334,0.0416666666666666,0.125,0.125,3.375,3.375,0.037037037037037,0.037037037037037,0.9583333333333334,0.9583333333333334,0.0625,0.0409090909090909,0,0.0
