log,combo,degradation_dim,degradation_level,dropped,dropped_count,status,elapsed_s,mandatory_node_count,total_node_count,tree_source,weight_voidage,skipprob,matchprob,salign_coverage,voidsalign3,voidmass_deficit_lower,voidmass_deficit_upper,voidmass_movecount,voidmass_movecount_bound,voidmass_process_lower,voidmass_process_upper,alignment_coverage_pn2_lower,alignment_coverage_pn2_upper,voidsat2,mean_leaf_skipprob,timed_out_count,timed_out_weight
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.0,,0,ok,36.6016107997857,7,10,cached,0.3333333333333333,0.0,1.0,0.9960871679411556,0.0040249145515625,0.0198386012104909,0.0198386012104909,4.421654337592465,4.421654337592465,0.0044866920152091,0.0044866920152091,1.0,1.0,0.18440157495606,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.1,Unmatched,1,ok,26.119274499826133,7,10,cached,0.3333333333333333,0.0,1.0,0.9990749191404888,0.0010371633522271,0.003698722259583,0.003698722259583,3.977135171486213,3.977135171486213,0.0009299966181941,0.0009299966181941,1.0,1.0,0.2188647909929754,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.2,"Queued, Unmatched",2,ok,17.325572500005364,7,10,cached,0.25,0.0,1.0,0.9067053351266534,0.0934067473660617,0.2817753866846,0.2817753866846,3.82380632145259,3.82380632145259,0.0736897643334506,0.0736897643334506,1.0,1.0,0.2595172929779367,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.3,"Queued, Unmatched",2,ok,13.01465899962932,7,10,cached,0.25,0.0,1.0,0.7666189251268478,0.2333810748731516,0.7039030955585462,0.7039030955585462,3.8257065948855966,3.8257065948855966,0.1839929639401935,0.1839929639401935,1.0,1.0,0.2933662368906927,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.4,"Completed, Queued, Unmatched",3,ok,11.387430999893695,7,10,cached,0.0833333333333333,0.0,1.0,0.6639429421643268,0.3360570578356732,1.0,1.0,3.738862234407128,3.738862234407128,0.2674610449129239,0.2674610449129239,1.0,1.0,0.3169979437971213,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.5,"Completed, Queued, Unmatched",3,ok,11.251637899782509,7,10,cached,0.0833333333333333,0.0,1.0,0.6469210254976945,0.3530789745023054,0.9999999999999998,0.9999999999999998,3.443140132061628,3.443140132061628,0.29043255913062,0.29043255913062,1.0,1.0,0.2993396918561996,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.6,"Completed, Queued, Unmatched",3,ok,9.524603199679404,7,10,cached,0.0833333333333333,0.0,1.0,0.6253196212655957,0.3746803787344044,1.0,1.0,3.138041733547351,3.138041733547351,0.3186700767263427,0.3186700767263427,1.0,1.0,0.2704654895666132,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.7,"Completed, Queued, Unmatched",3,ok,8.539256199728698,7,10,cached,0.0833333333333333,0.0,1.0,0.600572583238329,0.3994274167616711,1.0,1.0,2.839779005524861,2.839779005524861,0.3521400778210117,0.3521400778210117,1.0,1.0,0.2306629834254143,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.8,"Completed, Queued, Unmatched",3,ok,7.92714609997347,7,10,cached,0.0833333333333333,0.0,1.0,0.573539974857305,0.426460025142695,1.0,1.0,2.559718969555035,2.559718969555035,0.3906678865507776,0.3906678865507776,1.0,1.0,0.180327868852459,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_frequency_gradual,0.9,"Completed, Queued, Unmatched",3,ok,7.545005000196397,7,10,cached,0.0833333333333333,0.0,1.0,0.5367417135709819,0.4632582864290181,1.0,1.0,2.24953095684803,2.24953095684803,0.4445371142618848,0.4445371142618848,1.0,1.0,0.097560975609756,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.0,,0,ok,36.6016107997857,7,10,cached,0.3333333333333333,0.0,1.0,0.9960871679411556,0.0040249145515625,0.0198386012104909,0.0198386012104909,4.421654337592465,4.421654337592465,0.0044866920152091,0.0044866920152091,1.0,1.0,0.18440157495606,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.1,,0,ok,33.15368419978768,7,10,cached,0.3333333333333333,0.0,1.0,0.9978196012871556,0.0022924812055612,0.0107599193006052,0.0107599193006052,4.183591123066576,4.183591123066576,0.0025719337727053,0.0025719337727053,1.0,1.0,0.1999827553013502,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.2,,0,ok,25.689951800275598,7,10,cached,0.3333333333333333,0.0,1.0,0.9989268101322588,0.0011852723604572,0.0040349697377269,0.0040349697377269,3.948217888365839,3.948217888365839,0.001021972406745,0.001021972406745,1.0,1.0,0.2207032160470595,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.3,Queued,1,ok,19.10101510025561,7,10,cached,0.25,0.0,1.0,0.9355218942307048,0.0645901882620106,0.1973772696704775,0.1973772696704775,3.82716879623403,3.82716879623403,0.0515726585837286,0.0515726585837286,1.0,1.0,0.2493854817414789,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.4,Queued,1,ok,16.194829300045967,7,10,cached,0.25,0.0,1.0,0.8073699193098741,0.1919571331800307,0.5938761776581422,0.5938761776581422,3.82772543741588,3.82772543741588,0.1551511954992966,0.1551511954992966,1.0,1.0,0.2879049364469231,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.5,"Completed, Queued",2,ok,10.60516110016033,7,10,cached,0.0833333333333333,0.0,1.0,0.6691427714764014,0.3291748597483629,0.9999999999999996,0.9999999999999996,3.8317631224764455,3.8317631224764455,0.2609764664559185,0.2609764664559185,1.0,1.0,0.3242759472082775,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.6,"Completed, Queued",2,ok,10.557483300101012,7,10,cached,0.0833333333333333,0.0,1.0,0.6692549293947504,0.3300721230951551,0.9999999999999996,0.9999999999999996,3.8310901749663513,3.8310901749663513,0.2610223080976637,0.2610223080976637,1.0,1.0,0.3244164366738299,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.7,"Completed, Queued",2,ok,10.234511400107294,7,10,cached,0.0833333333333333,0.0,1.0,0.6692913807182137,0.3303721455267391,0.9999999999999998,0.9999999999999998,3.831090174966352,3.831090174966352,0.2610223080976637,0.2610223080976637,1.0,1.0,0.3246730609019537,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.8,"Completed, Queued, Unmatched",3,ok,9.973807900212703,7,10,cached,0.0833333333333333,0.0,1.0,0.6494410593896266,0.3505589406103735,1.0000000000000002,1.0000000000000002,3.4731814842027915,3.4731814842027915,0.2879204569494395,0.2879204569494395,1.0,1.0,0.3023512123438647,0.0,0,0.0
BPI_Challenge_2013_closed_problems,inductive_noise20,activity_gradual,0.9,"Completed, Queued, Unmatched",3,ok,8.35768079990521,7,10,cached,0.0833333333333333,0.0,1.0,0.5901549746739103,0.4098450253260897,1.0,1.0,2.722620266120778,2.722620266120778,0.3672932330827068,0.3672932330827068,1.0,1.0,0.210849539406346,0.0,0,0.0
